frame,elapsed_ms,capture_ms,copy_ms,native_texture
568,4723.837,0.810,0.295,19
569,4732.068,0.765,0.281,23
570,4740.583,0.876,0.296,27
571,4748.912,0.804,0.284,19
572,4757.192,0.815,0.299,23
573,4765.591,0.896,0.296,27
574,4773.756,0.827,0.300,19
575,4782.121,0.888,0.295,23
576,4790.403,0.785,0.303,27
577,4798.839,0.885,0.299,19
578,4807.099,0.860,0.301,23
579,4815.392,0.810,0.303,27
580,4823.781,0.843,0.285,19
581,4832.048,0.803,0.272,23
582,4840.449,0.878,0.299,27
583,4848.819,0.788,0.285,19
584,4857.136,0.797,0.288,23
585,4865.524,0.887,0.298,27
586,4873.773,0.806,0.275,19
587,4881.996,0.768,0.306,23
588,4890.606,0.935,0.283,27
589,4898.763,0.767,0.280,19
590,4907.003,0.746,0.275,23
591,4915.279,0.697,0.271,27
592,4923.829,0.899,0.290,19
593,4932.023,0.788,0.284,23
594,4940.350,0.749,0.266,27
595,4948.746,0.756,0.293,19
596,4957.155,0.864,0.282,23
597,4965.375,0.784,0.272,27
598,4973.703,0.758,0.281,19
599,4981.992,0.744,0.268,23
600,4990.507,0.866,0.279,27
601,4998.777,0.825,0.282,19
602,5007.023,0.724,0.275,23
603,5015.427,0.819,0.273,27
604,5023.772,0.856,0.275,19
605,5032.152,0.851,0.273,23
606,5040.414,0.869,0.272,27
607,5048.727,0.736,0.277,19
608,5057.136,0.809,0.265,23
609,5065.311,0.737,0.269,27
610,5073.732,0.801,0.286,19
611,5082.111,0.780,0.264,23
612,5090.529,0.814,0.267,27
613,5098.734,0.760,0.280,19
614,5107.053,0.783,0.271,23
615,5115.493,0.851,0.278,27
616,5123.789,0.820,0.290,19
617,5132.031,0.783,0.276,23
618,5140.389,0.792,0.281,27
619,5148.727,0.720,0.278,19
620,5157.133,0.777,0.277,23
621,5165.380,0.725,0.273,27
622,5173.708,0.774,0.261,19
623,5182.042,0.807,0.276,23
624,5190.492,0.882,0.276,27
625,5198.737,0.797,0.279,19
626,5206.921,0.694,0.261,23
627,5215.386,0.754,0.270,27
628,5223.852,0.873,0.277,19
629,5232.103,0.795,0.270,23
630,5240.420,0.840,0.276,27
631,5248.956,0.862,0.278,19
632,5257.232,0.894,0.281,23
633,5265.554,0.903,0.281,27
634,5273.807,0.890,0.289,19
635,5282.174,0.900,0.280,23
636,5290.496,0.874,0.282,27
637,5298.847,0.885,0.279,19
638,5307.111,0.862,0.296,23
639,5315.411,0.738,0.279,27
640,5323.796,0.785,0.284,19
641,5332.128,0.816,0.273,23
642,5340.477,0.839,0.273,27
643,5348.887,0.748,0.274,19
644,5357.175,0.799,0.272,23
645,5365.494,0.836,0.280,27
646,5373.783,0.801,0.279,19
647,5382.232,0.744,0.275,23
648,5390.765,0.775,0.270,27
649,5398.804,0.745,0.263,19
650,5407.167,0.872,0.276,23
651,5415.581,0.960,0.276,27
652,5423.768,0.806,0.273,19
653,5433.120,1.839,1.325,23
654,5440.509,0.889,0.270,27
655,5449.072,0.902,0.281,19
656,5457.197,0.830,0.272,23
657,5465.440,0.791,0.269,27
658,5473.867,0.813,0.283,19
659,5482.110,0.806,0.273,23
660,5490.507,0.832,0.273,27
661,5498.732,0.739,0.278,19
662,5507.166,0.884,0.277,23
663,5515.426,0.743,0.272,27
664,5523.855,0.900,0.289,19
665,5532.239,0.909,0.286,23
666,5540.545,0.916,0.287,27
667,5549.012,0.825,0.292,19
668,5557.318,0.914,0.294,23
669,5565.491,0.834,0.284,27
670,5573.877,0.877,0.292,19
671,5582.202,0.913,0.293,23
672,5590.505,0.866,0.274,27
673,5598.844,0.867,0.292,19
674,5607.197,0.932,0.288,23
675,5615.495,0.848,0.284,27
676,5623.906,0.851,0.292,19
677,5632.195,0.884,0.279,23
678,5640.556,0.915,0.277,27
679,5648.865,0.806,0.272,19
680,5657.245,0.821,0.292,23
681,5665.394,0.733,0.279,27
682,5673.919,0.888,0.291,19
683,5682.225,0.892,0.293,23
684,5690.453,0.774,0.283,27
685,5698.843,0.864,0.289,19
686,5707.066,0.754,0.281,23
687,5715.490,0.855,0.286,27
688,5723.813,0.811,0.285,19
689,5732.252,0.932,0.284,23
690,5740.418,0.783,0.285,27
691,5748.885,0.747,0.290,19
692,5757.130,0.747,0.287,23
693,5765.409,0.764,0.284,27
694,5773.819,0.822,0.274,19
695,5782.172,0.848,0.284,23
696,5790.572,0.895,0.279,27
697,5798.842,0.854,0.285,19
698,5807.123,0.832,0.285,23
699,5815.575,0.886,0.282,27
700,5823.897,0.867,0.291,19
701,5832.152,0.767,0.284,23
702,5840.582,0.925,0.289,27
703,5848.836,0.786,0.272,19
704,5857.261,0.876,0.296,23
705,5865.524,0.860,0.297,27
706,5873.792,0.776,0.277,19
707,5882.316,0.940,0.280,23
708,5890.652,0.943,0.283,27
709,5898.798,0.772,0.286,19
710,5907.130,0.792,0.272,23
711,5915.545,0.872,0.283,27
712,5923.869,0.852,0.269,19
713,5932.115,0.817,0.279,23
714,5940.447,0.818,0.273,27
715,5948.931,0.783,0.275,19
716,5957.251,0.830,0.279,23
717,5965.635,0.956,0.288,27
718,5973.852,0.845,0.315,19
719,5982.105,0.776,0.278,23
720,5990.575,0.916,0.287,27
721,5998.904,0.859,0.275,19
722,6007.137,0.789,0.273,23
723,6015.494,0.793,0.271,27
724,6023.892,0.865,0.278,19
725,6032.389,1.044,0.307,23
726,6040.529,0.869,0.276,27
727,6048.739,0.733,0.279,19
728,6057.281,0.886,0.275,23
729,6065.534,0.873,0.277,27
730,6074.052,0.986,0.278,19
731,6082.193,0.866,0.283,23
732,6090.512,0.833,0.281,27
733,6098.866,0.851,0.284,19
734,6107.263,0.920,0.282,23
735,6115.642,0.922,0.277,27
736,6123.906,0.841,0.297,19
737,6132.396,0.972,0.302,23
738,6140.682,0.899,0.286,27
739,6148.969,0.853,0.277,19
740,6157.143,0.733,0.273,23
741,6165.552,0.857,0.273,27
742,6173.886,0.884,0.286,19
743,6182.347,0.987,0.306,23
744,6190.602,0.898,0.290,27
745,6198.848,0.802,0.272,19
746,6207.198,0.843,0.269,23
747,6215.432,0.732,0.269,27
748,6223.833,0.791,0.279,19
749,6232.212,0.860,0.278,23
750,6240.683,0.989,0.282,27
751,6248.976,0.856,0.285,19
752,6257.256,0.844,0.292,23
753,6265.479,0.794,0.290,27
754,6273.815,0.752,0.288,19
755,6282.249,0.884,0.289,23
756,6290.568,0.881,0.280,27
757,6298.924,0.842,0.293,19
758,6307.342,0.852,0.287,23
759,6315.713,0.928,0.299,27
760,6323.925,0.828,0.282,19
761,6332.318,0.949,0.277,23
762,6340.645,0.940,0.280,27
763,6348.944,0.794,0.289,19
764,6357.309,0.802,0.281,23
765,6365.608,0.854,0.279,27
766,6373.913,0.777,0.278,19
767,6382.246,0.824,0.280,23
768,6390.630,0.822,0.291,27
769,6398.986,0.890,0.297,19
770,6407.231,0.811,0.281,23
771,6415.588,0.786,0.286,27
772,6423.911,0.770,0.285,19
773,6432.178,0.788,0.285,23
774,6440.644,0.873,0.297,27
775,6449.015,0.808,0.293,19
776,6457.243,0.751,0.289,23
777,6465.581,0.804,0.269,27
778,6473.882,0.765,0.290,19
779,6482.366,0.875,0.293,23
780,6490.562,0.840,0.286,27
781,6498.918,0.802,0.293,19
782,6507.312,0.888,0.285,23
783,6515.626,0.916,0.276,27
784,6523.929,0.810,0.294,19
785,6532.219,0.811,0.277,23
786,6540.583,0.846,0.279,27
787,6548.931,0.736,0.290,19
788,6557.287,0.718,0.274,23
789,6565.656,0.894,0.282,27
790,6573.933,0.809,0.291,19
791,6582.185,0.742,0.271,23
792,6590.650,0.791,0.281,27
793,6599.165,0.902,0.318,19
794,6607.267,0.720,0.274,23
795,6615.659,0.817,0.274,27
796,6623.958,0.775,0.270,19
797,6632.187,0.750,0.276,23
798,6640.730,0.968,0.285,27
799,6649.196,0.853,0.278,19
800,6657.465,0.827,0.279,23
801,6665.809,0.922,0.280,27
802,6674.063,0.882,0.312,19
803,6682.212,0.708,0.262,23
804,6690.684,0.804,0.273,27
